,question,answer_text,distractor
334,whi disney make donald duck,becaus thing mickey could,becaus mickey mous lone becaus mickey abl everyth becaus peopl n like mickey mous
335,what passag mainli tell us,parent use technolog stay touch children,mani children crazi onlin game parent someth interest like children
336,If sen mccain elect what would palin,she would vice presid elect unit state,she would campaign manag sen mccain
337,mani teacher parent worri children,,student n work hard student spend much time chat onlin friend student think lesson less interest
338,what learn passag,basebal footbal basketbal popular sport america,differ class differ cultur there variat use american languag
339,It suggest passag,close relat usual similar intellig,unrel peopl like differ intellig closer blood relationship peopl differ like intellig peopl live close contact like similar degre intellig
340,the read passag stori mainli,abraham lincoln,four lawyer littl bird
341,the policemen told look way,roll car could go faster four mile hour,could watch car come direct car would hit road
342,what theme shanghai world expo,better citi better life,shanghai An open citi
343,mani american prefer basketbal footbal,play indoor throughout winter,nba game popular much faster footbal
344,which statement true accord passag,the intel scienc talent search intens competit,scott boisvert found new fungu link deceas amphibian the st th th student competit come california scott boisvert youngest winner among student
345,what main idea passag,how make small busi success,the analysi chines compani shawn luca apiari fund ceo success busi hard start
346,It honor hospit take care Ms bain,respect ladi,rel hospit leader live hospit year vote Mr obama elect
347,If get flu vaccin,bodi develop antibodi,ca n stop get flu viru wo n caus bodi develop antibodi bodi get larg amount flu virus
348,In albuquerqu high school student organ dinner,let peopl learn buy noth day,help poor peopl make money buy noth day
349,which follow statement not agre passag,imperi colleg busi school,imperi colleg offer good salari imperi colleg famou univers world imperi colleg strict job hunter
350,what Li ping want know,He want know someth english peopl,He want know girl name He want know girl
351,what chines tourist encourag,respect local custom wherev travel,tri polit home abroad take guidebook travel abroad
352,what best titl passag,packag can talk,color shape the respons packag
353,what writer regret n,manag find aunt arrang mazi,tri best care aunt cat ask aunt would take care cat talk aunt mailman month earlier
354,who also written newspap magazin accord text,richard louv,arthur conan doyl art spiegelman
355,follow your heart,book,dream
356,which follow would best titl passag,japanes cellphon industri intend expand oversea market,japanes cellphon compani unsuccess japan cellphon user US go global difficult task japanes compani
357,which follow true EQ IQ accord text,scientist tri discov way EQ IQ work togeth,there link EQ IQ the higher person IQ higher EQ
358,the headmast bryan lewi hold view,fountain pen help build student self respect,children requir use pen five handwrit skill import type skill use pen may slow student speed write
359,lorenzo bertolla,brand name cloth,advertis agenc
360,the book releas ministri educ singapor,teach method,model math teacher
361,accord Dr tom heffernan find,would contribut fight smoke,would use real world memori test
